#FieldID	Field	Category	UKBCategoryTreePath
20742	Liking for whisky	Food (and other) preferences	Online follow-up > Food (and other) preferences
20743	Liking for white bread	Food (and other) preferences	Online follow-up > Food (and other) preferences
20744	Liking for white rice	Food (and other) preferences	Online follow-up > Food (and other) preferences
20745	Liking for white wine	Food (and other) preferences	Online follow-up > Food (and other) preferences
20746	Liking for whole grain breakfast cereal	Food (and other) preferences	Online follow-up > Food (and other) preferences
20747	Liking for whole milk	Food (and other) preferences	Online follow-up > Food (and other) preferences
20748	Liking for wholemeal bread	Food (and other) preferences	Online follow-up > Food (and other) preferences
20749	Liking for working up a sweat	Food (and other) preferences	Online follow-up > Food (and other) preferences
20750	When food preferences questionnaire completed	Food (and other) preferences	Online follow-up > Food (and other) preferences
20751	Duration of questionnaire	Food (and other) preferences	Online follow-up > Food (and other) preferences
21000	Ethnic background	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Ethnicity
21001	Body mass index (BMI)	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
21002	Weight	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
21003	Age when attended assessment centre	Recruitment	UK Biobank Assessment Centre > Recruitment > Reception
21004	Number of puzzles correct	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Tower rearranging
21011	FDA data file (left)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21012	FDS data file (left)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21013	FDA data file (right)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21014	FDS data file (right)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21015	Fundus retinal eye image (left)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21016	Fundus retinal eye image (right)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21017	OCT image slices (left)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21018	OCT image slices (right)	Eye measures	UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography
21021	Pulse wave Arterial Stiffness index	Arterial stiffness	UK Biobank Assessment Centre > Physical measures > Arterial stiffness
21022	Age at recruitment	Population characteristics	Population characteristics > Baseline characteristics
21023	When digestive health questionnaire completed	Digestive health	Online follow-up > Digestive health
21024	Ever diagnosed with IBS	Digestive health	Online follow-up > Digestive health
21025	Frequency of discomfort/pain in abdomen in last 3 months	Digestive health	Online follow-up > Digestive health
21026	Discomfort/pain occurring only during menstrual bleed	Digestive health	Online follow-up > Digestive health
21027	Abdominal discomfort/pain for 6 months or longer	Digestive health	Online follow-up > Digestive health
21028	Frequency of discomfort/pain getting better or stopping after a bowel movement	Digestive health	Online follow-up > Digestive health
21029	More frequent bowel movements when abdominal discomfort/pain started	Digestive health	Online follow-up > Digestive health
21030	Less frequent bowel movements when abdominal discomfort/pain started	Digestive health	Online follow-up > Digestive health
21031	Stools looser when abdominal discomfort/pain started	Digestive health	Online follow-up > Digestive health
21032	Frequency of harder stools when abdominal discomfort/pain started	Digestive health	Online follow-up > Digestive health
21033	Frequency of hard/lumpy stools in the last 3 months	Digestive health	Online follow-up > Digestive health
21034	Frequency of loose/mushy/watery stools in the last 3 months	Digestive health	Online follow-up > Digestive health
21035	Currently (in last 3 months) suffer from abdominal pain	Digestive health	Online follow-up > Digestive health
21036	Severity of current abdominal pain	Digestive health	Online follow-up > Digestive health
21037	Number of days (out of 10) with abdominal pain	Digestive health	Online follow-up > Digestive health
21038	Currently suffer from abdominal distension	Digestive health	Online follow-up > Digestive health
21039	Severity of current abdominal distension/tightness	Digestive health	Online follow-up > Digestive health
21040	Satisfaction with bowel habits	Digestive health	Online follow-up > Digestive health
21041	Degree to which abdominal pain/discomfort/altered bowel habits affect/interfere with life in general	Digestive health	Online follow-up > Digestive health
21042	Greatest number of times bowels opened per day	Digestive health	Online follow-up > Digestive health
21043	Least number of times bowels opened per week	Digestive health	Online follow-up > Digestive health
21044	Average number of times bowels opened per day	Digestive health	Online follow-up > Digestive health
21045	Number of weeks absent from work due to IBS, in the last year	Digestive health	Online follow-up > Digestive health
21046	When gave up work due to IBS	Digestive health	Online follow-up > Digestive health
21047	Number of weeks (in the last year) at work suffering because of IBS	Digestive health	Online follow-up > Digestive health
21048	Degree bothered by back pain in the past 3 months	Digestive health	Online follow-up > Digestive health
21049	Degree bothered by pain in arms/legs/joints in the past 3 months	Digestive health	Online follow-up > Digestive health
21050	Degree bothered by menstrual cramps or other problems with period in the last 3 months	Digestive health	Online follow-up > Digestive health
21051	Degree bothered by headaches in the last 3 months	Digestive health	Online follow-up > Digestive health
21052	Degree bothered by chest pain in the last 3 months	Digestive health	Online follow-up > Digestive health
21053	Degree bothered by dizziness in the last 3 months	Digestive health	Online follow-up > Digestive health
21054	Degree bothered by fainting spells in the last 3 months	Digestive health	Online follow-up > Digestive health
21055	Degree bothered by feeling heart pound/race in the last 3 months	Digestive health	Online follow-up > Digestive health
21056	Degree bothered by shortness of breath in the last 3 months	Digestive health	Online follow-up > Digestive health
21057	Degree bothered by pain/problems during intercourse in the last 3 months	Digestive health	Online follow-up > Digestive health
21058	Degree bothered by urinary frequency/bladder irritability in the last 3 months	Digestive health	Online follow-up > Digestive health
21059	Degree bothered by nausea in the last 3 months	Digestive health	Online follow-up > Digestive health
21060	Degree bothered by feeling tired all the time in the last 3 months	Digestive health	Online follow-up > Digestive health
21061	Degree bothered by trouble sleeping in the last 3 months	Digestive health	Online follow-up > Digestive health
21062	Ever been offered/sought treatment for anxiety	Digestive health	Online follow-up > Digestive health
21063	Ever been offered/sought treatment for depression	Digestive health	Online follow-up > Digestive health
21064	Sensitive stomach	Digestive health	Online follow-up > Digestive health
21065	Family history of IBS	Digestive health	Online follow-up > Digestive health
21066	Born by caesarian section	Digestive health	Online follow-up > Digestive health
21067	Long-term/recurrent antibiotics as child or teenager	Digestive health	Online follow-up > Digestive health
